word;count
http://zip.4chan.org/a/res/1000000.html;1
milhouse;96
get;243
none;53
woooooooooooooooo~~!;1
lol;32
what;36
t5he;1
fucksk;1
its;13
this;226
shit;24
sage;75
for;79
the;337
worst;14
of;132
all;47
time.;3
i;175
hate;6
you;166
nooooooooo!!!;1
wtf;9
is;296
shit!!!;1
noooooo;1
commentooooooooooooo;1
failget;1
demand;3
a;273
recount!;1
fuck;35
you!;4
are;56
not;78
meme!;6
got;16
999999get;1
with;33
gay;4
nigger;2
:(;7
thrillhouse;10
sagesagesagesagesagesagesagesagesagesagesagesagesagesagesagesagesagesagesagesagesagesagesagesagesage;31
sagesagesagesagesagesagesagesagev;1
way;6
to;151
go;25
-_-;1
legendary;15
failiure;1
god;10
dammit!!!;1
catastrophic;1
fail.;9
;_;;1
why;20
best.get.ever.;1
mod;78
failget.;1
>>1000021;1
1000001get;1
haruhi,;2
anything;3
better;10
than;23
milhouseget;1
joey;1
bishop;1
wins;5
wee/a/boos;6
have;46
been;24
owned.;4
liek;2
whoa;1
there;33
couldn't;2
more;20
lame;1
staged;12
by;42
mods;229
delete;5
it;107
and;151
make;11
new;10
before;10
people;25
realize;2
has;15
happened.;2
so;51
begins;1
end;4
/a/;61
dark;21
schneider;20
!unli2.v8zk;13
>>1000000;25
ppl;1
pissy;1
over;12
tripcode;1
users;2
when;24
do;29
ban;3
anonymous;24
junk-sama;1
or;35
desu-sama;1
1m;14
get!;9
guy;4
who;22
did;20
banned;4
posting;20
anime,;3
right?;6
don't;19
believe;7
every;14
failget...;1
(but;1
one;15
even;20
worse);1
>>1000043;1
greatest;15
owning;2
ultimate;2
ever.;19
>>1000052;1
thread's;1
already;5
archived.;2
those;8
gets;15
will;41
be;56
known;1
fake.;1
winget;7
troubadour;2
/a/'s;5
best;88
wut;1
pwned?;1
>>1000046;1
would;21
bet;1
it's;29
possible;1
board;9
software;1
insert;1
whatever;2
as;40
no.1000000;1
soon;1
no.999999;1
posted...;1
in;105
sticky.;5
stickied;7
=;4
modget.;4
legendary.;1
yamazaki;1
should;21
moot;29
oot;28
bring;10
back;20
snacks;4
my;29
hero;5
stickied!!!;1
nooooooooo!!!!!;1
now;56
everyone;10
know;17
fucking;55
payback;1
10m;4
haruhi;13
get.;36
weeaboo;6
bastards;1
brought;1
upon;1
yourselves!;1
>>1000070;2
was;54
real;22
1mil;6
then?;2
any;25
proof?;1
meme.;13
ever!;2
aaaahahaha;1
owned;6
lol'd;3
hard;6
fail!!;1
wins!;3
shitfaces.;1
enjoy;5
ur;7
aids;3
??????????????????????????????;26
>>1000094;1
>>1000095;1
time;9
paradox!;1
i'm;31
think;15
an;30
absolute;1
persistence;1
makes;8
meme;63
...what.;1
tripfag;7
boring;2
get,;18
worth;1
capping.;1
blue;1
name;4
suck;205
craps;1
dbz.;1
1111111;1
finally;7
reached;3
status!!;1
seconded.;1
from;24
1mget;13
/b/;39
onwards;1
marctheundead;1
!w4yoafaa2e;1
lmao.;1
epic.;2
>>1000059;1
that'd;1
true...;1
if;35
actually;3
legit;1
does;11
approve;1
faggotry.;1
gb2co!;1
dont;2
/b/'s;4
next;11
weeaboos!;1
im;8
that;87
hilarious;2
!anonymous;3
!fg6bc6sdh2;1
here's;2
mediocrity;1
animation.;2
awesome;7
>>1000118;1
grammar;3
our;9
friend,;1
please;11
stop;8
raping;1
it.;17
anonymoose;4
!2yiruv/o/g;4
sageing;3
sticky;14
>>1000139;1
prove;1
isn't.;1
supposed;1
"legit";1
get?;9
ever;17
picture;8
less;5
1mget.;1
auuuuuggggh;1
isn't;9
anime;20
character!;1
stay;2
off;6
forum,;1
pigfucker.;1
ryou;4
utagawa;4
sages;2
no;42
commento;1
modget;3
stickys;1
~desu;1
>>1000169;2
can't;8
dipshit.;1
secret;1
rig;3
gets.;4
just;32
proves;2
anyone;4
still;22
didn't;7
on;50
post;41
retarded;5
dumbasses;2
sticky?;2
>>1000174;2
watch;1
me;18
a/.;1
>>1000177;3
yes,;2
because;16
outside;2
can;28
here,;2
nevar;1
forget;2
day;7
beat;1
wee/a/boos.;1
>>1000013;1
qft;1
chaosangel999;1
!j3mvhba1im;1
yet;3
again;2
at;28
least;7
/v/'s;1
relavent;1
subject;1
:/;3
thought;2
toons=ban...;1
modget?;3
>>1000179;1
wow,;3
absolutely;2
nothing.;1
bullshit;1
he;17
may;2
6m;1
but;31
>>1000183;1
yep,;1
ownage;5
/a/.;9
sagesagesagesagesagesagesage;2
too;13
bad;6
you're;9
dead.;1
dammit;2
failed.;1
we;47
could've;1
done;4
milhouse!;3
no,;3
they;43
only;13
anime.;2
wait.;1
lol.;5
since;3
care;4
about;20
anyway?;3
hey;1
remember;3
said;5
1000000get;1
fail;13
dissappointed;1
bitch?;1
lawl;1
rigged;2
many;8
angry;1
let;2
gnaa;1
shit,;2
though,;1
fags.;2
):3;1
!hztroww1ss;2
>>1000209;1
fraid;1
not.;1
>>1000203;2
being;10
most;12
history.;2
>>1000218;1
yeah,;2
thats;5
thought.;1
entered;3
very;13
heart,;3
soul,;4
life;4
force;4
internet.;8
place;10
beyond;3
sanity,;3
wild;3
untamed.;3
nothing;7
here.;6
"new";4
content;8
4chan;34
found;;3
created;3
old;11
material.;3
interesting,;3
offensive,;3
shocking,;3
debate;3
inspiring;3
topic;5
youve;3
seen;7
elsewhere;3
posted;10
here;15
ad;3
infinitum.;3
reason;6
"not;3
safe;3
work".;3
army.;3
cross;3
us;7
everywhere.;4
depend;3
day.;6
bag;3
your;28
groceries,;3
fix;3
computers.;3
sees;3
see;13
him.;4
sitting;3
desks;3
around;4
world;8
right;9
nameless,;3
faceless,;3
unforgiving;3
mafia;3
composed;3
best.;3
4channers.;3
devoid;3
type;5
soul;3
conscience.;3
products;3
cynicism;3
apathy,;3
spreading;3
sentiments;3
daily.;3
hardened;3
war;4
veteran;3
forgive;3
forget.;3
things;13
defy;3
explantions.;3
heard;3
stories;3
god-fearing,;3
law;3
abiding;3
citzen;3
empty;4
their;16
stomach;3
where;8
stand.;3
experienced;3
them;7
multiple;4
times;6
eagerly;3
await;3
return.;3
sheer;3
genius;3
utter;3
stupidity,;3
often;3
thin;3
line;3
dividing;3
two.;3
state;4
mind;4
exists;3
human;3
beings,;3
rarely;3
shown.;3
taboos;3
exist.;3
cannot;6
simply;3
regarded;3
simple;3
website;3
imageboard.;3
much;15
code.;3
alive;3
constantly;4
changing.;3
subculture,;3
self-governing;3
sect;3
world.;3
rich;3
history;8
foundation.;3
become;8
user;4
speak;3
different;5
language.;3
leave;9
behind;4
methods;3
conventional;3
thinking;5
once;5
knew.;3
understand;4
never;10
understand.;3
accept;4
then;14
gtfo;4
now.;7
turning;3
back.;6
milhouse,;4
nor;3
harushit;2
rozen;1
maiden;1
failed;4
/b/tard;5
am;10
loling;1
vigorously;1
this.;7
>>1000206;1
material,;2
stickied.;2
something's;1
wrong.;1
sir;3
lachdanan;2
^^;1
>>1000163;2
dat;1
sum;1
griffithhhhhhhhhhhhhhhhhhhhhh;1
irony;2
deleted;7
inappropiate;1
takes;2
1000000,;1
oshi;1
1000001.;1
>>1000238;1
oh;30
noes!!;1
saged;1
sticky!!;1
move!;1
million;5
internets;2
good;11
weeeeeeeeaboos;1
>>1000224;1
relax;1
man;2
internet;5
la-;1
>>1000168;1
agree;2
isnt;2
character;2
great;8
cudos;1
>>1000251;1
>>1000245;2
dumbass.;1
besides;2
knows;1
is.;3
manner;2
switching;1
change;2
how;28
one.;1
/b/.;4
also;7
anime/manga;1
related;1
picture.;2
reported.;1
worse;3
hazuki;1
d:;1
look;6
>>1000269;1
mod.;2
hide;1
ownage.;1
germany;8
possible!;2
i've;5
till;2
twenty;1
minutes;3
ago;2
wanted;4
sleep,;1
something;3
told;3
come;8
this...;2
thing;7
ever,;4
which;5
f*cking;1
allowed;2
burnt;1
sent;1
hell,;4
long;8
live;3
>>1000275;1
weeaboos;3
lose.;1
we're;3
reposting;3
shitty,;1
overused;1
memes;1
2;3
years;2
ago?;1
wait,;2
serious;2
business;1
saged.;1
>>1000281;2
photoshop;1
men;1
use;2
mspaint;1
edit;1
pics;1
>>1000276;1
same;10
person;3
holy;4
crap,;1
kidding;1
me.;5
x;5
>>1000296;1
and?;1
http://img.4chan.org/b/res/12973301.html;1
forced_anonymous';1
shall;2
carved;1
into;5
annals;1
victoly.;1
>>1000294;1
post?;1
[x];1
no.;2
wut?;2
read;1
thise;1
