word;count
@unitec_hn;17
somos;5
#creadoresdeloimposible;48
;65
team;1
mecatrónica;1
sps;3
siendo;1
parte;1
de;37
los;4
honduras;3
#semanadeingenieria;3
semana;8
la;25
ingeniería.;1
no;2
hay;1
agua,;1
sirven;1
baños;1
pero;1
con;4
todo;1
y;11
eso;1
ingeniería;11
día;1
3;1
@jaimeescoto;10
interesante;2
charla;2
inteligencia;2
artificial;2
david;1
yanes;1
@davidya88419776;1
internacional;5
campus;8
san;4
pedro;4
sula;2
hoy,;5
en;20
#sanpedrosula;4
tenemos;2
presentación;2
del;4
ing.;5
pablo;2
mejía;2
sobre;5
straight;2
line;2
program,;2
programación;2
genética:;2
un;2
enfoque;2
combinado.;2
#honduras;8
#unitecsps;10
conferencia;2
#criptomonedas;2
como;2
funcionan,;2
por;4
el;6
@romanpineda;4
.;2
#semanadelaingenieria;2
#elmejoringe;2
#semanadeingineria;3
hoy;1
sula,;2
román;1
pineda;1
comparte;1
nosotros;1
implementacion;1
#inteligenciaartificial.;1
nos;1
explican;1
cual;1
es;1
concepto;1
celular;1
a;9
través;1
las;5
telecomunicaciones.;1
chelsea;1
estudia;2
civil;1
dice;2
que;5
quiere;2
hacer;1
una;2
casa;1
acuática.;1
ovidio;1
mecatronica;1
crear;1
licuadora;1
haga;1
videollamadas.;1
invitados;6
todos.;2
favor;2
difundir.;2
cordialmente;2
unitec.;2
les;2
comparto;2
programa;2
conferencias;2
tegucigalpa.;2
te;6
invitamos;2
“semana;2
ingeniería”;2
donde;2
podrás;2
aprender;2
experiencias;2
#creadoresdeloimposible.;6
¡no;2
lo;2
pierdas!;2
unitec;8
|;2
universidad;4
global;2
https://instagram.com/p/b1br2gib8gh/?igshid=1hv7wtyhk2j02;2
inversión;2
infraestructura;2
implementación;2
modelo;2
académico;2
cdio;2
facultad;2
permitirá;2
nuestros;2
estudiantes;2
ser;2
https://bit.ly/2khqosm;2
coloca;2
primera;2
piedra;2
su;4
nuevo;2
moderno;2
edificio;2
tegucigalpa;2
tecnológica;2
centroamericana,;2
unitec,;2
fiel;2
pilar;2
institucional;2
innovación;2
académica;2
tecnológica,;2
celebró;2
entre;2
estudiantes,;2
docentes,;2
autoridades;2
e;2
especiales,;2
la...;2
blog.unitec.edu;2
si;4
tu;2
vas;2
me;2
voy;2
detrás;2
ti...;2
#buenastardes;2
http://instagram.com/p/nocfn-tu8d/;2
tarde.....;2
#compartiendo;2
personas;2
valen;2
pena;2
http://instagram.com/p/m8-ajlnu8j/;2
